id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
Q01,Access Control,"Tôi là nhân viên mới vào làm, ai sẽ phê duyệt quyền truy cập hệ thống của tôi và mức quyền của tôi là gì?","Chào bạn,

- Quyền truy cập hệ thống của bạn sẽ được phê duyệt bởi **Line Manager**. 
- Mức quyền của bạn sẽ là **Level 1 — Read Only**, áp dụng cho tất cả nhân viên mới trong 30 ngày đầu làm việc [1].
- Thời gian xử lý yêu cầu cấp quyền là **1 ngày làm việc** [1].

Nếu bạn cần thêm thông tin hoặc hỗ trợ, hãy cho tôi biết!","Bạn sẽ có Level 1 - Read Only access, do Line Manager phê duyệt.",5,"The answer accurately reflects the information provided in the retrieved chunks regarding the access level, approval process, and processing time for new employees.",5,The answer directly addresses the user's query by specifying who will approve the system access (Line Manager) and what the access level will be (Level 1 — Read Only). It also provides additional relevant information about the processing time for the access request.,0,Retrieved: 0/1 expected sources. Missing: ['access_control_sop.txt'],5,"The Model Answer includes all key points from the Expected Answer, specifying that the Line Manager will approve the access and that the access level is Level 1 - Read Only.",baseline_dense
Q02,Access Control,Tôi có thể xin cấp quyền hệ thống khẩn cấp trong sự cố không và quyền bảo lưu được bao lâu?,"- Bạn có thể xin cấp quyền hệ thống khẩn cấp trong trường hợp sự cố P1, cần cấp quyền tạm thời để khắc phục sự cố [1].
- Quy trình cấp quyền tạm thời như sau:
  - On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời [1].
  - Sau 24 giờ, bạn cần tạo một ticket chính thức, nếu không quyền sẽ bị thu hồi tự động [1].
- Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1]. 

Nếu bạn cần thêm thông tin hoặc hỗ trợ, hãy cho tôi biết!","Có, On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi Tech Lead phê duyệt bằng lời.",5,"The answer accurately reflects the provided context regarding the escalation process for granting temporary system permissions, including the approval process, time limits, and logging requirements.",5,"The answer directly addresses the user's query about obtaining emergency system access during an incident and explains the duration of the temporary access clearly, including the process and requirements.",0,Retrieved: 0/1 expected sources. Missing: ['access_control_sop.txt'],5,"The Model Answer fully covers the key points from the Expected Answer, including the ability to request emergency system access, the temporary nature of the access, the maximum duration of 24 hours, and the requirement for Tech Lead approval.",baseline_dense
Q03,HR Policy,"Tôi làm việc được 4 năm, tôi có bao nhiêu ngày phép năm?","- Theo chính sách nghỉ phép năm, nhân viên có từ 3-5 năm kinh nghiệm sẽ được hưởng 15 ngày phép năm [1]. 
- Vì bạn đã làm việc được 4 năm, bạn có quyền sử dụng 15 ngày phép năm.",15 ngày/năm cho nhân viên từ 3-5 năm kinh nghiệm.,5,"The answer accurately reflects the information provided in the retrieved chunks regarding annual leave entitlement for employees with 3-5 years of experience, confirming that they are entitled to 15 days of leave per year.",5,The answer directly addresses the user's query by providing the specific number of annual leave days they are entitled to based on their 4 years of work experience.,0,Retrieved: 0/1 expected sources. Missing: ['hr_leave_policy.txt'],5,"The model answer fully addresses the query by stating that employees with 3-5 years of experience are entitled to 15 days of annual leave, which aligns perfectly with the expected answer.",baseline_dense
Q04,HR Policy,Làm thêm giờ vào ngày cuối tuần thì lương được tính như thế nào?,"- Lương làm thêm giờ vào ngày cuối tuần được tính là 200% lương giờ tiêu chuẩn [1]. 
- Để làm thêm giờ, nhân viên cần có sự phê duyệt bằng văn bản từ Line Manager trước khi thực hiện [1].",200% lương giờ tiêu chuẩn.,5,The answer accurately reflects the information provided in the retrieved chunks regarding overtime pay rates and the requirement for written approval from the Line Manager.,5,The answer directly addresses the query by providing the specific rate of pay for overtime on weekends and includes relevant information about the requirement for managerial approval.,0,Retrieved: 0/1 expected sources. Missing: ['hr_leave_policy.txt'],5,"The model answer fully covers the key point from the expected answer regarding the calculation of overtime pay on weekends, stating it is 200% of the standard hourly wage.",baseline_dense
Q05,IT FAQ,Tài khoản của tôi sẽ bị khóa sau bao nhiêu lần đăng nhập sai?,"- Tài khoản của bạn sẽ bị khóa sau 5 lần đăng nhập sai liên tiếp [1].
- Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO.",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the retrieved chunks regarding account lockout after 5 failed login attempts and the options for unlocking the account.,5,"The answer directly addresses the user's query by providing the specific number of failed login attempts that will result in the account being locked, and it also offers additional information on how to unlock the account.",0,Retrieved: 0/1 expected sources. Missing: ['it_helpdesk_faq.txt'],5,"The Model Answer fully covers the key point from the Expected Answer regarding the number of failed login attempts that lead to account lockout, and it also provides additional information on how to unlock the account.",baseline_dense
Q06,IT FAQ,Công ty dùng phần mềm VPN nào để kết nối từ xa?,Công ty sử dụng phần mềm VPN là Cisco AnyConnect. Bạn có thể tải phần mềm này tại đường link sau: [https://vpn.company.internal/download](https://vpn.company.internal/download) [1].,Cisco AnyConnect.,5,"The answer accurately reflects the information provided in the retrieved chunks regarding the VPN software used by the company, including the correct name and download link.",5,The answer directly addresses the user's query by specifying the VPN software used by the company and provides a link for downloading it.,0,Retrieved: 0/1 expected sources. Missing: ['it_helpdesk_faq.txt'],5,"The model answer provides the expected answer 'Cisco AnyConnect' and includes additional information about downloading the software, which enhances the completeness.",baseline_dense
Q07,Refund Policy,"Sau 10 ngày mua, tôi có được hoàn tiền cho sản phẩm bị móp méo không?","Tôi xin lỗi, nhưng theo chính sách hoàn tiền, yêu cầu hoàn tiền phải được gửi trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [1]. Do đó, nếu bạn đã mua sản phẩm được 10 ngày, bạn sẽ không đủ điều kiện để yêu cầu hoàn tiền.","Không, yêu cầu hoàn tiền chỉ được chấp nhận trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.",5,Abstained appropriately.,5,Abstained appropriately.,0,Retrieved: 0/1 expected sources. Missing: ['policy_refund_v4.txt'],5,"The Model Answer fully addresses the key points from the Expected Answer, clearly stating that the refund request must be made within 7 days of order confirmation and that the user is not eligible for a refund after 10 days.",baseline_dense
Q08,Refund Policy,Nếu tôi mua hàng kỹ thuật số (license key) và muốn hoàn tiền vì đổi ý thì có được không?,"- Theo chính sách hoàn tiền, yêu cầu hoàn tiền phải được gửi trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [1].
- Tuy nhiên, đối với hàng kỹ thuật số như license key, sản phẩm này không được hoàn tiền [1].
- Ngoài ra, nếu đơn hàng đã áp dụng mã giảm giá đặc biệt hoặc sản phẩm đã được kích hoạt, cũng sẽ không đủ điều kiện hoàn tiền [1].

Tóm lại, bạn không thể hoàn tiền cho license key nếu đã mua. Nếu cần thêm thông tin, vui lòng cho tôi biết!","Không, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền.",5,"The answer accurately reflects the information provided in the retrieved chunks regarding the refund policy for digital products like license keys, including the conditions under which refunds are not applicable.",5,"The answer directly addresses the user's query about the refund policy for digital products, specifically license keys, and provides clear information about the conditions under which refunds are not possible.",0,Retrieved: 0/1 expected sources. Missing: ['policy_refund_v4.txt'],5,"The Model Answer fully addresses the key points from the Expected Answer, clearly stating that digital products like license keys are not eligible for refunds.",baseline_dense
Q09,SLA,"Nếu có sự cố P1 (Database sập), thời gian phản hồi ban đầu theo SLA là bao lâu?","- Thời gian phản hồi ban đầu cho sự cố P1 (Database sập) là 15 phút kể từ khi ticket được tạo [1].
- Thời gian xử lý và khắc phục sự cố là 4 giờ [1].
- Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer [1].",15 phút kể từ khi ticket được tạo.,5,"The answer accurately reflects the information provided in the retrieved chunks regarding the initial response time, resolution time, and escalation process for Ticket P1.",5,The answer directly addresses the user's query by providing the initial response time for a P1 incident (15 minutes) and additional relevant information about the escalation process and resolution time.,0,Retrieved: 0/1 expected sources. Missing: ['sla_p1_2026.txt'],5,"The model answer provides the exact time for the initial response to the P1 incident as stated in the expected answer, which is 15 minutes from ticket creation. It also includes additional relevant information about the incident handling process, which does not detract from the completeness regarding the key point.",baseline_dense
Q10,SLA,"Theo thay đổi mới nhất (v2026.1), thời gian khắc phục sự cố P1 là bao lâu?","Theo thay đổi mới nhất (v2026.1), thời gian khắc phục sự cố P1 được quy định như sau:

- **Phản hồi ban đầu**: 15 phút kể từ khi ticket được tạo.
- **Xử lý và khắc phục**: 4 giờ [1].
- **Escalation**: Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [1].

Nếu bạn cần thêm thông tin, vui lòng cho tôi biết!",Cập nhật SLA P1 resolution từ 6 giờ xuống 4 giờ.,5,"The answer accurately reflects the updated SLA for P1 as per the latest version (v2026.1), including the initial response time, resolution time, and escalation process, all of which are directly supported by the provided context.",5,"The answer directly addresses the user's query by providing specific details about the P1 incident resolution times as per the latest changes (v2026.1), including initial response, handling, and escalation procedures.",0,Retrieved: 0/1 expected sources. Missing: ['sla_p1_2026.txt'],3,"The model answer provides detailed information about the response and escalation process but does not explicitly mention the update of the P1 resolution time from 6 hours to 4 hours, which is a key point in the expected answer.",baseline_dense
